emoji,cluster_id,membership_raw,membership_sharp,source_type,observed_count,support_score
☕,cluster_08,1.000000000000000,1.000000000000000,onehot,149,
☹️,cluster_01,1.000000000000000,1.000000000000000,onehot,244,
☺️,cluster_01,0.483804802090042,0.476872422267249,soft_candidate,967,0.660241127014160
☺️,cluster_02,0.516195197909958,0.523127577732751,soft_candidate,967,0.704443812370300
🌚,cluster_03,1.000000000000000,1.000000000000000,onehot,97,
🌛,cluster_00,1.000000000000000,1.000000000000000,onehot,2,
🌝,cluster_00,1.000000000000000,1.000000000000000,onehot,3,
🌞,cluster_02,1.000000000000000,1.000000000000000,onehot,275,
🌬️,cluster_08,1.000000000000000,1.000000000000000,onehot,92,
🌶️,cluster_02,1.000000000000000,1.000000000000000,onehot,52,
🍀,cluster_01,1.000000000000000,1.000000000000000,onehot,4760,
🎉,cluster_02,1.000000000000000,1.000000000000000,onehot,7320,
🐭,cluster_02,1.000000000000000,1.000000000000000,onehot,91,
🐮,cluster_00,1.000000000000000,1.000000000000000,onehot,18,
🐯,cluster_00,1.000000000000000,1.000000000000000,onehot,11,
🐰,cluster_00,1.000000000000000,1.000000000000000,onehot,19,
🐱,cluster_06,1.000000000000000,1.000000000000000,onehot,142,
🐲,cluster_00,1.000000000000000,1.000000000000000,onehot,65,
🐴,cluster_00,1.000000000000000,1.000000000000000,onehot,25,
🐵,cluster_00,1.000000000000000,1.000000000000000,onehot,4,
🐶,cluster_06,1.000000000000000,1.000000000000000,onehot,352,
🐷,cluster_00,1.000000000000000,1.000000000000000,onehot,16,
👿,cluster_05,1.000000000000000,1.000000000000000,onehot,89,
💋,cluster_00,1.000000000000000,1.000000000000000,onehot,17,
💔,cluster_06,1.000000000000000,1.000000000000000,onehot,4450,
💫,cluster_02,1.000000000000000,1.000000000000000,onehot,236,
😀,cluster_01,0.492332857685531,0.489047833048124,soft_candidate,3000,0.820323824882507
😀,cluster_02,0.507667142314469,0.510952166951876,soft_candidate,3000,0.845873773097992
😁,cluster_02,1.000000000000000,1.000000000000000,onehot,3626,
😂,cluster_07,1.000000000000000,1.000000000000000,onehot,6565,
😃,cluster_01,0.516896839480654,0.524128780660688,soft_candidate,10758,0.820323824882507
😃,cluster_02,0.483103160519346,0.475871219339312,soft_candidate,10758,0.766692698001862
😄,cluster_01,0.490191257533698,0.485989381524841,soft_candidate,13379,0.845873773097992
😄,cluster_02,0.509808742466302,0.514010618475159,soft_candidate,13379,0.879725694656372
😅,cluster_02,0.493654131664653,0.490934980415566,soft_candidate,11210,0.710126817226410
😅,cluster_03,0.506345868335347,0.509065019584434,soft_candidate,11210,0.728384017944336
😆,cluster_02,0.518300034037319,0.526130759448894,soft_candidate,1141,0.714118599891663
😆,cluster_07,0.481699965962681,0.473869240551106,soft_candidate,1141,0.663690686225891
😇,cluster_00,1.000000000000000,1.000000000000000,onehot,1893,
😈,cluster_07,1.000000000000000,1.000000000000000,onehot,969,
😉,cluster_01,1.000000000000000,1.000000000000000,onehot,2244,
😊,cluster_01,0.524882577742466,0.535516013740280,soft_candidate,43786,0.908751010894775
😊,cluster_02,0.475117422257533,0.464483986259720,soft_candidate,43786,0.822590529918671
😋,cluster_02,1.000000000000000,1.000000000000000,onehot,1835,
😌,cluster_02,0.250968737889957,0.251323616476954,soft_candidate,15257,0.741341590881348
😌,cluster_03,0.240401500810506,0.236343728894810,soft_candidate,15257,0.710126817226410
😌,cluster_05,0.260208192107296,0.264645055504497,soft_candidate,15257,0.768634200096130
😌,cluster_06,0.248421569192241,0.247687599123739,soft_candidate,15257,0.733817458152771
😍,cluster_02,1.000000000000000,1.000000000000000,onehot,3262,
😎,cluster_02,1.000000000000000,1.000000000000000,onehot,5268,
😏,cluster_07,1.000000000000000,1.000000000000000,onehot,1862,
😐,cluster_05,0.523681144266425,0.533803890559807,soft_candidate,4776,0.707494199275970
😐,cluster_08,0.476318855733575,0.466196109440193,soft_candidate,4776,0.643507659435272
😑,cluster_05,0.502583866333335,0.503691203419340,soft_candidate,512,0.714844465255737
😑,cluster_08,0.497416133666665,0.496308796580660,soft_candidate,512,0.707494199275970
😒,cluster_05,1.000000000000000,1.000000000000000,onehot,5614,
😓,cluster_03,0.327972273299304,0.325660515002231,soft_candidate,2026,0.716989278793335
😓,cluster_04,0.342837364868474,0.346949734885489,soft_candidate,2026,0.749486267566681
😓,cluster_05,0.329190361832223,0.327389750112280,soft_candidate,2026,0.719652175903320
😔,cluster_04,0.522346830240876,0.531901928809353,soft_candidate,26020,0.870943546295166
😔,cluster_06,0.477653169759124,0.468098071190647,soft_candidate,26020,0.796422839164734
😕,cluster_01,0.458592699348218,0.440987254093048,soft_candidate,3368,0.610411524772644
😕,cluster_08,0.541407300651782,0.559012745906952,soft_candidate,3368,0.720642209053040
😖,cluster_04,1.000000000000000,1.000000000000000,onehot,512,
😘,cluster_00,1.000000000000000,1.000000000000000,onehot,9,
😚,cluster_00,1.000000000000000,1.000000000000000,onehot,1,
😛,cluster_00,1.000000000000000,1.000000000000000,onehot,28,
😜,cluster_07,1.000000000000000,1.000000000000000,onehot,688,
😝,cluster_00,1.000000000000000,1.000000000000000,onehot,6,
😞,cluster_04,0.324520111249391,0.320353856817061,soft_candidate,10370,0.774868011474609
😞,cluster_05,0.310722675457247,0.301075014714604,soft_candidate,10370,0.741923391819000
😞,cluster_06,0.364757213293361,0.378571128468336,soft_candidate,10370,0.870943546295166
😟,cluster_01,1.000000000000000,1.000000000000000,onehot,14088,
😠,cluster_05,1.000000000000000,1.000000000000000,onehot,7077,
😡,cluster_05,1.000000000000000,1.000000000000000,onehot,5973,
😢,cluster_06,1.000000000000000,1.000000000000000,onehot,4421,
😣,cluster_04,1.000000000000000,1.000000000000000,onehot,430,
😤,cluster_05,1.000000000000000,1.000000000000000,onehot,2958,
😥,cluster_03,1.000000000000000,1.000000000000000,onehot,695,
😦,cluster_01,1.000000000000000,1.000000000000000,onehot,293,
😧,cluster_01,1.000000000000000,1.000000000000000,onehot,715,
😨,cluster_03,1.000000000000000,1.000000000000000,onehot,6877,
😩,cluster_04,1.000000000000000,1.000000000000000,onehot,4878,
😪,cluster_04,1.000000000000000,1.000000000000000,onehot,46,
😫,cluster_04,1.000000000000000,1.000000000000000,onehot,1099,
😬,cluster_03,1.000000000000000,1.000000000000000,onehot,4407,
😭,cluster_06,1.000000000000000,1.000000000000000,onehot,2179,
😮,cluster_01,1.000000000000000,1.000000000000000,onehot,7610,
😮‍💨,cluster_02,0.546631585372677,0.566415900246062,soft_candidate,1388,0.768634200096130
😮‍💨,cluster_05,0.453368414627323,0.433584099753938,soft_candidate,1388,0.637494206428528
😯,cluster_01,1.000000000000000,1.000000000000000,onehot,364,
😰,cluster_03,1.000000000000000,1.000000000000000,onehot,5205,
